playerId,Player,Season,Team,CapHit,CapHit_pct,Season_id,Pos_group,S/C,Age,heightInInches,weightInPounds,GP,TOI/GP,Depth_TOI_rank,PP TOI,PK TOI,Is_ELC,ContractLength,YearsRemaining,WAR_per_GP,EVO WAR,EVD WAR,PP WAR,PK WAR,pointsPerGame,ixG,shots,xGF%,OZ Start%,xG_diff,Hits,HitsT,BkS,TkA,GvA,penaltyMinutes,DZ Start%,Team_pointPct,Team_GF_pct,Team_PP%,Team_PK%,nhl_edge_skatingSpeedMax_mph,nhl_edge_burstsOver20,nhl_edge_topShotSpeed_mph,nhl_edge_totalDistanceSkated_mph,nhl_edge_distanceMaxGame_mph,nhl_edge_zoneTime_offensiveZonePctg
8479359,Beck Malenstyn,24-25,BUF,1.35,0.015341,2,W,L,26,75,209,76,10.53,7.0,2.5,109.25,0,2,1,-0.0,-0.19,-0.2,0.0,0.15,0.13,6.06,67,40.82,19.42,-9.0,191,103,63,10,39,29,24.93,0.4817,0.4800724637681159,0.187772,0.763486,22.83,120.0,85.51,130.26,2.46,0.39
8481122,Simon Benoit,24-25,TOR,1.35,0.015341,2,D,L,26,76,210,78,16.55,6.0,1.28,159.18,0,3,2,-0.02,-0.71,-0.29,0.0,-0.33,0.13,1.47,48,45.44,14.64,-7.91,204,127,111,16,70,59,35.59,0.65853,0.5383064516129032,0.247706,0.778724,22.97,48.0,93.84,173.92,3.05,0.39
8482095,Tyler Kleven,24-25,OTT,0.92,0.010417,2,D,L,22,77,225,79,14.47,6.0,9.03,19.77,1,3,0,-0.0,-1.17,0.28,0.01,0.02,0.13,2.68,78,43.34,28.68,-9.54,105,181,97,30,64,27,21.41,0.59146,0.510548523206751,0.237918,0.777293,22.08,20.0,95.18,165.42,3.33,0.41
8482166,Shakir Mukhamadullin,24-25,SJS,0.89,0.010161,2,D,L,22,76,200,30,18.07,4.0,19.32,35.25,1,3,0,0.01,-0.29,0.26,0.0,0.02,0.3,1.5,30,43.8,19.11,-3.99,25,47,51,5,33,8,32.0,0.31707,0.4015444015444015,0.18584,0.742188,21.4,13.0,87.08,78.18,3.47,0.4
8481059,Scott Perunovich,24-25,NYI,1.15,0.013068,2,D,L,26,70,175,35,16.01,7.0,35.88,1.6,0,1,0,0.01,0.2,-0.17,-0.01,0.0,0.26,0.84,18,50.68,37.0,0.56,15,39,37,10,29,10,17.62,0.5,0.4634655532359081,0.125603,0.722223,22.44,12.0,81.01,80.47,3.33,0.45
8483425,Lian Bichsel,24-25,DAL,0.95,0.010795,2,D,L,20,79,237,38,14.89,8.0,2.07,17.3,1,3,1,0.01,-0.14,0.24,0.0,-0.01,0.24,1.45,39,50.1,32.71,0.09,155,113,23,4,22,41,24.3,0.64634,0.5533199195171026,0.22,0.820176,21.73,17.0,94.91,82.16,2.83,0.41
8474715,Cam Atkinson,24-25,TBL,2.36,0.026799,2,W,R,35,68,178,39,8.99,6.0,24.6,0.48,0,1,0,-0.01,0.04,-0.31,-0.03,0.0,0.23,4.24,47,39.92,35.1,-5.47,15,12,10,3,12,11,17.22,0.62195,0.5748031496062992,0.25862,0.815534,22.12,8.0,80.13,57.39,2.82,0.4
8479370,Tyson Jost,24-25,CAR,0.78,0.008807,2,C,L,26,71,187,39,10.37,6.0,23.1,7.25,0,1,0,-0.0,-0.03,-0.05,0.0,-0.0,0.23,4.95,44,54.0,42.37,2.39,46,45,17,6,9,33,19.77,0.60365,0.5362903225806451,0.186991,0.836066,22.19,23.0,83.56,67.96,2.93,0.47
8483553,Marc Gatcomb,24-25,NYI,0.78,0.008807,2,C,R,25,74,195,39,9.79,7.0,1.9,0.0,0,1,0,0.02,-0.0,-0.01,-0.0,0.0,0.23,5.0,41,47.03,37.37,-1.54,149,37,23,7,12,11,19.19,0.5,0.4634655532359081,0.125603,0.722223,22.52,68.0,83.73,62.73,2.27,0.41
8482624,Daniil Miromanov,24-25,CGY,1.25,0.014205,2,D,R,27,76,207,44,17.68,5.0,10.43,13.25,0,2,1,-0.0,-0.34,0.22,-0.01,-0.0,0.2,2.1,52,47.57,25.06,-2.49,19,57,55,11,42,12,32.15,0.58536,0.4824561403508772,0.2103,0.761062,22.14,27.0,92.18,113.36,3.27,0.42
8481743,Marc Del Gaizo,24-25,NSH,0.78,0.008807,2,D,L,24,71,188,46,16.75,8.0,5.87,38.65,0,1,0,0.0,0.03,0.15,0.0,0.09,0.2,3.8,76,48.32,23.25,-1.87,71,74,53,19,38,21,27.31,0.41463,0.4362139917695473,0.219298,0.814815,21.78,16.0,88.07,111.12,3.19,0.44
8481726,Adam Edstrom,24-25,NYR,0.85,0.009621,2,C,L,23,79,232,51,9.27,7.0,3.32,0.58,1,3,0,0.01,-0.01,0.05,-0.0,0.0,0.18,5.22,40,44.75,15.36,-3.71,94,34,34,7,19,27,43.82,0.51829,0.5,0.17619,0.803348,23.49,135.0,80.04,77.93,2.19,0.4
8477810,Joel Hanley,24-25,CGY,0.79,0.008949,2,D,L,33,71,186,53,18.58,4.0,5.0,68.6,0,2,0,0.01,-0.34,0.8,-0.0,0.14,0.17,1.68,42,51.91,25.28,2.36,55,109,90,7,67,21,32.82,0.58536,0.4824561403508772,0.2103,0.761062,21.22,17.0,89.89,144.26,3.52,0.43
8480172,Jan Rutta,24-25,SJS,2.75,0.03125,2,D,R,34,75,204,54,17.26,6.0,0.78,94.75,0,3,0,-0.01,-0.55,0.13,0.0,-0.15,0.17,1.61,55,39.0,21.49,-13.42,40,85,81,11,55,28,32.66,0.31707,0.4015444015444015,0.18584,0.742188,22.82,28.0,93.31,125.4,3.36,0.4
8477353,Tyler Motte,24-25,DET,0.8,0.009091,2,C,L,29,70,194,55,11.31,6.0,3.13,81.73,0,1,0,0.0,-0.3,0.21,-0.0,0.21,0.16,6.25,66,45.82,30.47,-2.93,72,54,48,16,31,6,23.3,0.52439,0.4757085020242915,0.270042,0.701087,23.02,94.0,86.28,101.48,2.62,0.38
8478399,Jonas Siegenthaler,24-25,NJD,3.4,0.038636,2,D,L,27,74,218,55,19.6,5.0,2.05,107.12,0,5,3,0.02,-0.47,1.03,0.0,0.36,0.16,2.22,52,55.19,17.95,6.57,75,124,92,14,59,44,34.27,0.55487,0.5217391304347826,0.282407,0.826667,21.49,11.0,88.07,145.43,3.68,0.4
8479336,Carl Grundstrom,24-25,SJS,1.8,0.020455,2,W,L,26,72,200,56,9.6,6.0,3.22,7.2,0,2,0,-0.0,0.36,0.31,0.0,-0.01,0.16,7.74,88,48.77,24.48,-0.97,172,69,18,5,35,24,27.39,0.31707,0.4015444015444015,0.18584,0.742188,23.12,99.0,89.06,90.79,2.18,0.4
8477931,Tomas Nosek,24-25,FLA,0.78,0.008807,2,W,L,32,75,199,59,9.82,5.0,7.13,60.53,0,1,0,-0.01,0.19,-0.01,-0.0,0.05,0.15,6.55,47,57.25,28.17,5.61,83,59,24,5,20,10,22.54,0.59756,0.5245202558635395,0.235294,0.807378,22.07,37.0,85.12,94.2,2.33,0.42
8481607,Albert Johansson,24-25,DET,0.78,0.008807,2,D,L,23,72,195,61,16.36,5.0,3.62,25.08,0,1,0,0.0,-0.46,-0.02,0.0,0.03,0.15,1.97,48,44.98,28.6,-7.28,70,118,83,15,54,30,29.07,0.52439,0.4757085020242915,0.270042,0.701087,21.7,15.0,90.26,140.29,3.14,0.41
8479372,Josh Mahura,24-25,SEA,0.78,0.008807,2,D,L,26,72,193,64,13.76,6.0,2.4,37.8,0,1,0,-0.01,-0.39,0.22,-0.0,0.02,0.14,2.21,58,45.98,27.79,-4.69,89,129,54,10,41,20,24.07,0.46341,0.4832347140039448,0.189427,0.772021,21.79,31.0,95.31,121.58,2.64,0.4
8476429,Scott Mayfield,24-25,NYI,3.5,0.039773,2,D,R,31,76,215,66,17.0,6.0,1.57,107.38,0,7,5,0.0,-0.38,0.1,0.0,-0.03,0.14,2.62,51,47.88,26.65,-3.25,89,81,105,27,59,27,26.89,0.5,0.4634655532359081,0.125603,0.722223,21.2,20.0,84.22,151.45,3.39,0.38
8483429,Seamus Casey,24-25,NJD,0.95,0.010795,2,D,R,20,70,162,14,12.64,10.0,15.53,0.03,1,3,2,0.05,-0.03,0.0,-0.01,0.0,0.57,0.58,12,45.3,43.94,-1.08,10,18,7,2,16,0,18.18,0.55487,0.5217391304347826,0.282407,0.826667,20.84,5.0,72.92,26.37,2.58,0.39
8483432,Luca Del Bel Belluz,24-25,CBJ,0.86,0.0097727272727272,2,C,L,20,73,185,15,13.75,7.0,12.12,0.05,1,3,2,0.01,-0.05,0.06,-0.01,-0.0,0.53,1.63,18,43.33,35.96,-1.66,4,16,12,3,9,0,28.09,0.54268,0.5,0.194594,0.769586,20.29,3.0,79.22,33.32,2.54,0.38
8477993,Justin Kirkland,24-25,CGY,0.78,0.008807,2,C,L,28,75,183,21,9.7,7.0,0.87,21.28,0,1,0,0.01,0.02,-0.01,-0.0,-0.01,0.38,0.96,9,42.19,16.09,-2.0,45,18,16,3,8,11,49.43,0.58536,0.4824561403508772,0.2103,0.761062,21.84,18.0,82.32,33.43,2.43,0.37
8476934,Brock McGinn,24-25,ANA,2.75,0.03125,2,W,L,30,72,191,26,11.71,7.0,0.82,42.0,0,4,0,0.02,0.01,-0.05,0.0,0.0,0.31,3.35,30,41.44,26.22,-3.68,61,12,28,7,8,0,35.37,0.4878,0.4539748953974895,0.117647,0.741936,22.61,43.0,85.22,49.61,2.5,0.38
8482148,Hendrix Lapierre,24-25,WSH,0.86,0.009811,2,C,L,22,72,195,27,9.8,5.0,17.47,0.0,1,3,0,-0.01,-0.03,-0.11,-0.0,0.0,0.3,2.13,18,45.17,44.95,-1.98,12,26,14,5,17,4,6.42,0.67682,0.5553398058252427,0.235294,0.820084,22.84,60.0,81.16,44.82,2.66,0.4
8480073,Erik Brannstrom,24-25,VAN,0.78,0.008807,2,D,L,25,70,185,28,14.94,9.0,15.4,13.07,0,1,0,0.02,0.02,0.01,-0.0,0.0,0.29,1.3,33,49.09,38.46,-0.51,14,41,39,6,26,17,16.08,0.54878,0.4814049586776859,0.225225,0.825893,20.91,7.0,89.2,62.94,3.22,0.44
